id_programa;ano_exercicio;cd_programa;nome
9550;2001;542;"ACAO MUSEOLOGICA"
9551;1997;84;"PROGRAMA DE FORMACAO DO PATRIMONIO DO SERVIDOR PUBLICO"
9552;1996;59;"REGIOES METROPOLITANAS"
9553;1996;48;"CULTURA"
9554;2007;526;"SEGURANCA DE ALIMENTOS"
9555;2007;2;"OBRIGACOES ESPECIAIS"
9556;2007;339;"APOIO A REFORMA AGRARIA"
9557;2007;282;"INCENTIVO AO DESPORTO"
9558;2002;99;"EDIFICACOES PUBLICAS"
9559;2002;406;"PRODUCAO DE CONHECIMENTO CIENTIFICO"
9560;2002;446;"QUALIFICACAO PROFISSIONAL"
9561;2000;999;"RESERVA DE CONTINGENCIA"
9562;2002;302;"POLICIA OSTENSIVA"
9563;2003;337;"PROGRAMA DE MOBILIZACAO DE COMUNIDADES"
9564;2003;777;"OBRIGACOES ESPECIAIS"
9565;2002;366;"ASSISTENCIA PREVIDENCIARIA E SECURITARIA"
9566;2002;362;"PREVIDENCIA SOCIAL A SEGURADOS"
9567;2002;367;"ATENCAO A SAUDE DO SEGURADO"
9568;2002;136;"REPRESENTACAO JURIDICA DO ESTADO"
9569;2002;203;"PROGRAMA DE DESENVOLVIMENTO METROPOLITANO"
9570;2002;219;"APOIO A MODERNIZACAO DA ESTRUTURA ORGÂNICA DOS MUNICIPIOS-SOMMA"
9571;2002;337;"PROGRAMA DE MOBILIZACAO DE COMUNIDADES"
9572;2003;479;"PREVENCAO AO USO DE ENTORPECENTES"
9573;2000;331;"ASSISTENCIA SOCIAL GERAL"
9574;2003;402;"PRODUCAO DE SERVICOS LABORATORIAIS"
9575;2003;508;"ATENDIMENTO AO ENSINO SUPERIOR"
9576;2002;547;"PROTECAO E PRESERVACAO DO PATRIMONIO CULTURAL"
9577;2003;768;"PROGRAMA DE ACAO PARA O DESENVOLVIMENTO DO TURISMO NAS REGIOES NORTE E NORDESTE DE MINAS GERAIS - PRODETUR"
9578;2002;402;"PRODUCAO DE SERVICOS LABORATORIAIS"
9579;2002;404;"ABASTECIMENTO DE MEDICAMENTOS, IMUNOBIOLOGICOS E HEMODERIVADOS"
9580;2003;665;"PESQUISAS E SERVICOS TECNOLOGICOS"
9581;2003;545;"PROMOCAO, PRODUCAO E DIFUSAO CULTURAL"
9582;2002;809;"MINERACAO, ENERGIA E DESENVOLVIMENTO SUSTENTAVEL"
9583;2003;99;"EDIFICACOES PUBLICAS"
9584;2003;601;"PLANEJAMENTO, COORDENACAO E ACOMPANHAMENTO DE PROJETOS HABITACIONAIS URBANOS"
9585;2002;716;"PROGRAMA ESTADUAL DE REFORMA AGRARIA"
9586;2004;307;"ATENDIMENTO AOS ADOLESCENTES AUTORES DE ATO INFRACIONAL"
9587;2003;210;"SUPERVISAO E COORDENACAO SUPERIOR"
9588;2003;133;"PROCESSO JUDICIARIO"
9589;2003;132;"JULGAMENTO ADMINISTRATIVO DE DIREITOS RECLAMADOS"
9590;2003;201;"SISTEMA CENTRAL DE PLANEJAMENTO E ORCAMENTO DO ESTADO"
9591;2005;287;"GOVERNANCA ELETRONICA"
9592;2003;301;"SERVICOS ESPECIAIS DE SEGURANCA"
9593;2004;349;"PREVIDENCIA SOCIAL A SEGURADOS"
9594;2003;652;"RECUPERACAO DE BACIAS HIDROGRAFICAS"
9595;2003;661;"DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO"
9596;2003;443;"PROMOCAO DA SAUDE E SEGURANCA DO TRABALHADOR"
9597;2003;444;"INTERMEDIACAO DE EMPREGOS"
9598;2003;502;"UNIVERSALIZACAO DO ENSINO FUNDAMENTAL"
9599;2003;513;"DESENVOLVIMENTO DO ENSINO SUPERIOR"
9600;2003;506;"ATENDIMENTO AOS JOVENS E ADULTOS"
9601;2003;551;"PRESERVACAO DO PATRIMONIO CULTURAL"
9602;2003;542;"ACAO MUSEOLOGICA"
9603;2004;121;"COMERCIALIZACAO DE JORNAL E SERVICOS GRAFICOS EM GERAL."
9604;2006;0;"SEM DESCRICAO"
9605;2003;367;"ATENCAO A SAUDE DO SEGURADO"
9606;2003;810;"DESENVOLVIMENTO MINERAL"
9607;2003;212;"APORTE DE CAPITAL"
9608;2003;762;"PROMOCAO DO DESENVOLVIMENTO DO TURISMO"
9609;2003;831;"PROGRAMA DE INFRA-ESTRUTURA URBANA"
9610;2004;327;"ABASTECIMENTO DE MEDICAMENTOS, IMUNOBIOLOGICOS E FITOTERAPICOS"
9611;2004;25;"PROGRAMA DE APOIO AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO"
9612;2004;65;"ASSISTENCIA EXTRAJUDICIAL"
9613;2004;575;"ASSISTENCIA JUDICIAL"
9614;2004;287;"GOVERNANCA ELETRONICA"
9615;2004;335;"GERENCIAMENTO DAS ATIVIDADES CONTABEIS RELATIVAS A GESTAO ORCAMENTARIA , FINANCEIRA E PATRIMONIAL DO ESTAD"
9616;2004;340;"PROJETO JAIBA"
9617;2004;210;"MODERNIZACAO DA RECEITA ESTADUAL"
9618;2005;582;"PROCESSO JUDICIARIO"
9619;2004;382;"MINAS SEM FOME"
9620;2004;186;"CONSERVACAO DA BIODIVERSIDADE E DESENVOLVIMENTO FLORESTAL"
9621;2004;543;"GESTAO EM SAUDE"
9622;2004;546;"ATENCAO A SAUDE"
9623;2004;259;"REESTRUTURACAO DO SISTEMA DE PLANEJAMENTO E GESTAO METROPOLITANA"
9624;2004;178;"DESENVOLVIMENTO DO ENSINO SUPERIOR"
9625;2004;395;"SUPERVISAO E CONTROLE DO ENSINO SUPERIOR"
9626;2004;559;"PROTECAO E PRESERVACAO DO PATRIMONIO CULTURAL"
9627;2004;82;"FORMACAO ARTISTICO CULTURAL"
9628;2004;213;"LARES GERAES"
9629;2006;350;"DESENVOLVIMENTO INDUSTRIAL DO ESTADO"
9630;2004;328;"MELHORIA E AMPLIACAO DO ENSINO FUNDAMENTAL"
9631;2004;339;"APOIO A REFORMA AGRARIA"
9632;2004;580;"PROMOCAO DO DESENVOLVIMENTO COMERCIAL E DOS SERVICOS"
9633;2007;701;"AQUISICAO, CONSTRUCAO E REPAROS DE BENS IMOVEIS"
9634;1996;38;"PROGRAMA A CARGO DE ESTADOS E MUNICIPIOS"
9635;2004;397;"PAVIMENTACAO DE LIGACOES E ACESSOS RODOVIARIOS AOS MUNICIPIOS"
9636;2005;584;"MODERNIZACAO INSTITUCIONAL"
9637;2005;364;"PLANEJAMENTO E ARTICULACAO DAS ACOES GOVERNAMENTAIS"
9638;2007;693;"ASSISTENCIA SOCIAL E COMPLEMENTAR AO SEGURADO"
9639;2008;4;"ATENDIMENTO AS MEDIDAS SOCIOEDUCATIVAS"
9640;2008;701;"APOIO A ADMINISTRACAO PUBLICA"
9641;2005;601;"MANUTENCAO DOS SISTEMAS GERENCIAIS CORPORATIVOS"
9642;2005;618;"AJUSTE ESTRUTURAL DO ESTADO"
9643;1996;66;"NORMATIZACAO E FISCALIZACAO DA ATIVIDADE EMPRESARIAL"
9644;2005;58;"ATENDIMENTO HOSPITALAR E AMBULATORIAL"
9645;2005;518;"CONSTRUCAO E REFORMA DE UNIDADES PREDIAIS - FHEMIG"
9646;2005;23;"VIGILANCIA SANITARIA"
9647;2005;407;"AGROMINAS: AGREGACAO DE VALOR E DIVERSIFICACAO DE CAFE"
9648;2005;340;"PROJETO JAIBA"
9649;2008;47;"RMBH"
9650;2008;149;"INCENTIVO AO DESPORTO"
9651;2008;40;"PROMOCAO E ATRACAO DE INVESTIMENTOS ESTRATEGICOS E DESENVOLVIMENTO DAS CADEIAS PRODUTIVAS DAS EMPRESAS-ANCORAS"
9652;2003;134;"ESCOLA JUDICIAL"
9653;2006;217;"ESTRADA REAL"
9654;2008;178;"COORDENACAO E MANUTENCAO DO SISTEMA PRISIONAL"
9655;2005;558;"PROMOCAO, PRODUCAO E DIFUSAO CINEMATOGRAFICA"
9656;2005;233;"OPERACAO E MANUTENCAO DE SISTEMA ELETRONICO"
9657;2006;543;"GESTAO EM SAUDE"
9658;2006;519;"CAPACITACAO E FORMACAO DE RECURSOS HUMANOS-FUNED/ESP"
9659;2008;21;"GESTAO INTEGRADA DE ACOES E INFORMACOES DE DEFESA SOCIAL"
9660;2005;25;"PROGRAMA DE APOIO AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO"
9661;2005;301;"INDUCAO AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO"
9662;2005;576;"DESENVOLVIMENTO MINERO-METALURGICO - FDMM"
9663;2005;569;"DESENVOLVIMENTO DO ARTESANATO EM MINAS GERAIS"
9664;2006;58;"ATENDIMENTO HOSPITALAR E AMBULATORIAL"
9665;2005;504;"FUNDO E BENEFICIO GARANTIA SAFRA"
9666;2005;339;"APOIO A REFORMA AGRARIA"
9667;2006;365;"PROPAGACAO DO DESENVOLVIMENTO TECNOLOGICO"
9668;2005;395;"SUPERVISAO E CONTROLE DO ENSINO SUPERIOR"
9669;2006;152;"CRESCER PARA A VIDA E PARA O TRABALHO."
9670;2006;622;"INCLUSAO SOCIAL DE FAMILIAS VULNERABILIZADAS"
9671;2007;361;"PRODUCAO DE SERVICOS LABORATORIAIS"
9672;2005;286;"INTEGRACAO SOCIAL PELO ESPORTE"
9673;2006;382;"MINAS SEM FOME"
9674;2006;526;"SEGURANCA DE ALIMENTOS"
9675;2005;308;"PROMOCAO DE DEFESA CIVIL"
9676;2006;661;"FORMACAO E CAPACITACAO CULTURAL E ARTISTICA"
9677;2002;571;"PLANEJAMENTO URBANO"
9678;2007;213;"LARES GERAES"
9679;2007;700;"DIFUSAO TECNICA DO SETOR MINEROMETALURGICO"
9680;2005;334;"RESERVA DE BENEFICIOS"
9681;2005;310;"UNIVERSALIZACAO E MELHORIA DO ENSINO MEDIO"
9682;2006;358;"PREVENCAO SOCIAL DA CRIMINALIDADE"
9683;2002;839;"SANEAMENTO AMBIENTAL DAS BACIAS DO RIBEIRAO ARRUDAS E DO ONCA"
9684;2005;113;"EDICAO E CONFECCAO GRAFICA"
9685;2006;175;"PROGRAMA DE DESENVOLVIMENTO TURISTICO DO NORDESTE - FASE II - PRODETUR/NE-II"
9686;2006;675;"GESTAO DO SISTEMA"
9687;2006;638;"MELHORIA DO ENSINO MEDIO"
9688;2006;139;"ENSINO SUPERIOR"
9689;2006;178;"DESENVOLVIMENTO DO ENSINO SUPERIOR"
9690;2006;193;"COMUNICACAO SOCIAL"
9691;2006;208;"CORREDORES RADIAIS DE INTEGRACAO E DESENVOLVIMENTO"
9692;2006;329;"ADMINISTRACAO DE ESTADIOS"
9693;2006;676;"MINAS OLIMPICA"
9694;2008;45;"RESIDUOS SOLIDOS"
9695;2008;43;"REDE DE INOVACAO TECNOLOGICA"
9696;2008;192;"VERIFICACAO E FISCALIZACAO METROLOGICA E DA QUALIDADE"
9697;2008;50;"CERTIFICA MINAS"
9698;2006;584;"MODERNIZACAO INSTITUCIONAL"
9699;2005;27;"RADIODIFUSAO"
9700;2005;391;"ENERGIA ELETRICA PARA O NOROESTE MINEIRO"
9701;2005;49;"POTENCIALIZACAO DA LOGISTICA DO TRIANGULO - ALTO PARANAIBA"
9702;2005;68;"PROGRAMA DE PAVIMENTACAO DE RODOVIAS"
9703;2006;385;"RECOMPOSICAO E MANUTENCAO DE INFRA-ESTRUTURA DO CETEC"
9704;2007;190;"FORMACAO, QUALIFICACAO E CAPACITACAO DE RECURSOS HUMANOS E DESENVOLVIMENTO DE PESQUISAS/PROJETOS EM GESTAO"
9705;2006;255;"POLITICA PUBLICA DE TRABALHO, EMPREGO E RENDA"
9706;2006;643;"PROGRAMA PRIMEIRO EMPREGO"
9707;2006;280;"TELEFONIA RURAL"
9708;2006;68;"PROGRAMA DE PAVIMENTACAO DE RODOVIAS"
9709;2006;305;"DESENVOLVIMENTO DAS COMUNIDADES E INCREMENTO DAS POLITICAS PUBLICAS MUNICIPAIS"
9710;2007;543;"GESTAO DO SUS"
9711;2006;244;"ASSISTENCIA AMBULATORIAL DA POLICIA CIVIL"
9712;2008;194;"CORREDORES RADIAIS DE INTEGRACAO E DESENVOLVIMENTO"
9713;2006;130;"REGISTRO PUBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS"
9714;2007;660;"GESTAO E DISSEMINACAO DA INFORMACAO CULTURAL"
9715;2007;208;"CORREDORES RADIAIS DE INTEGRACAO E DESENVOLVIMENTO"
9716;2008;234;"ALIMENTACAO ESCOLAR"
9717;2006;551;"MINAS EXPORTA COM EXCELENCIA"
9718;2008;743;"SERVICO ESPECIAL DE SEGURANCA"
9719;2006;124;"PROGRAMA DE DUPLICACAO DA RODOVIA FERNAO DIAS (BR381)"
9720;2005;603;"CONSTRUCAO E REFORMA DE UNIDADES PREDIAIS"
9721;2008;736;"PROGRAMA DE APOIO HABITACIONAL AOS MILITARES"
9722;2008;28;"MINAS SEM FOME"
9723;2008;195;"CONSOLIDACAO DAS CADEIAS PRODUTIVAS - MINAS DO PRINCIPIO AO FIM"
9724;2008;216;"PROGRAMA DE PAVIMENTACAO DE RODOVIAS"
9725;2008;223;"PROGRAMA DE DUPLICACAO DA RODOVIA FERNAO DIAS (BR381)"
9726;2007;212;"TURISMO EM MINAS"
9727;2007;658;"ENERGIA NA IRRIGACAO"
9728;2006;281;"COOPERACAO ESTADO E MUNICIPIO"
9729;2005;305;"DESENVOLVIMENTO DAS COMUNIDADES E INCREMENTO DAS POLITICAS PUBLICAS MUNICIPAIS"
9730;2007;196;"REPRESENTACAO E DEFESA DOS INTERESSES DO ESTADO DE MINAS GERAIS EM BRASILIA"
9731;2007;569;"PROMOCAO E DESENVOLVIMENTO DO ARTESANATO EM MINAS GERAIS"
9732;2007;182;"EXPLORACAO DE JOGOS DE LOTERIA NO ESTADO DE MINAS GERAIS"
9733;2006;301;"INDUCAO AO DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO"
9734;2005;139;"ENSINO SUPERIOR"
9735;2005;151;"MANUTENCAO DE BIBLIOTECA COMUNITARIA"
9736;2005;93;"ACESSO AO CONHECIMENTO E A INFORMACAO CULTURAL"
9737;2002;835;"RESTAURACAO DE RODOVIAS"
9738;2008;726;"ACESSO A JUSTICA"
9739;2008;155;"MANUTENCAO DOS SISTEMAS GERENCIAIS CORPORATIVOS"
9740;2008;174;"ACOLHIMENTO, EDUCACAO E PROFISSIONALIZACAO DE CRIANCAS E JOVENS DESAMPARADOS"
9741;2005;20;"ASSISTENCIA COMPLEMENTAR"
9742;2008;706;"ATENCAO A SAUDE"
9743;2007;18;"APOIO HABITACIONAL"
9744;2007;341;"APOIO AOS PROGRAMAS HABITACIONAIS"
9745;2005;999;"RESERVA DE CONTINGENCIA"
9746;2004;112;"PROMOCAO, PRODUCAO E DIFUSAO CULTURAL"
9747;2002;409;"PROG.DE ASSISTENCIA HEMOTERAPICA E HEMATOLOGICA"
9748;2006;530;"MAPEAMENTO GEOLOGICO DO ESTADO DE MINAS GERAIS"
9749;2004;264;"ORIENTACAO AOS CIDADAOS"
9750;2005;361;"PRODUCAO DE SERVICOS LABORATORIAIS"
9751;2002;501;"PROGRAMA DE ALIMENTACAO ESCOLAR"
9752;2008;101;"DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO"
9753;2008;717;"REGISTRO PUBLICO DE EMPRESAS MERCANTIS E ATIVIDADES AFINS"
9754;2008;42;"REDE DE FORMACAO PROFISSIONAL ORIENTADA PELO MERCADO"
9755;2005;193;"COMUNICACAO SOCIAL"
9756;2007;230;"FORMACAO E CAPACITACAO DE POLICIAIS CIVIS"
9757;2002;542;"ACAO MUSEOLOGICA"
9758;2006;666;"PLANO MINEIRO DA SILVICULTURA"
9759;2007;244;"ASSISTENCIA AMBULATORIAL DA POLICIA CIVIL"
9760;2003;507;"ATENDIMENTO A EDUCACAO ESPECIAL"
9761;2007;234;"ENSINO MEDIO E FUNDAMENTAL- ESCOLA ESTADUAL ORDEM E PROGRESSO"
9762;2005;135;"DESENVOLVIMENTO DA PESQUISA CIENTIFICA"
9763;2005;84;"PRODUCAO E APRESENTACAO DE ESPETACULOS DOS CORPOS ESTAVEIS"
9764;2004;62;"ADEQUACAO DA INFRA-ESTRUTURA FISICA DA HEMORREDE"
9765;2003;480;"OUVIDORIA DA POLICIA"
9766;2002;213;"ESTUDOS ECONOMICOS E SOCIAIS"
9767;2004;351;"GESTAO DA POLITICA PUBLICA DE AGROPECUARIA"
9768;2004;603;"CONSTRUCAO E REFORMA DE UNIDADES PREDIAIS"
9769;2003;839;"SANEAMENTO AMBIENTAL DAS BACIAS DO RIBEIRAO ARRUDAS E DO ONCA"
9770;2003;642;"SISTEMA PUBLICO DE INFORMACOES AMBIENTAIS"
9771;2004;286;"INTEGRACAO SOCIAL PELO ESPORTE"
9772;2006;230;"CAPACITACAO DE POLICIAIS CIVIS"
9773;2006;286;"INTEGRACAO SOCIAL PELO ESPORTE"
9774;2007;15;"ESTUDOS E PESQUISAS LEGISLATIVOS"
9775;2005;216;"PROMOCAO E DIVULGACAO"
9776;2004;136;"CONSTRUCOES E REFORMAS PREDIAIS"
9777;2003;510;"ENSINO TECNICO EM LEITE E DERIVADOS"
9778;2008;27;"MINAS OLIMPICA"
9779;2005;529;"PROGRAMA DE CONCESSAO DE RODOVIAS"
9780;2007;624;"ASSISTENCIA PREVIDENCIARIA"
9781;2009;704;"COMERCIALIZACAO DE ASSINATURA DO JORNAL MINAS GERAIS, IMPRESSOS, FORMULARIOS E SERVICOS GRAFICOS EM GERAL"
9782;2009;173;"MODERNIZACAO DA GESTAO AMBIENTAL"
9783;2009;48;"SANEAMENTO BASICO: MAIS SAUDE PARA TODOS"
9784;2009;11;"CONSOLIDACAO DA GESTAO DE RECURSOS HIDRICOS EM BACIAS HIDROGRAFICAS"
9785;2009;6;"CENTRO ADMINISTRATIVO"
9786;2009;178;"COORDENACAO E MANUTENCAO DO SISTEMA PRISIONAL"
9787;2009;9;"CIRCUITOS CULTURAIS DE MINAS GERAIS"
9788;2009;43;"REDE DE INOVACAO TECNOLOGICA"
9789;2009;180;"MELHORIA DO ENSINO MEDIO"
9790;2009;131;"PRESERVACAO DO PATRIMONIO CULTURAL"
9791;2004;532;"PROMOCAO DA EMPRESA MINEIRA EXPORTADORA"
9792;2007;58;"ATENDIMENTO HOSPITALAR E AMBULATORIAL"
9793;2010;743;"SERVICO ESPECIAL DE SEGURANCA"
9794;2010;23;"IMPLANTACAO DO SUAS"
9795;2010;160;"REDE COMPLEMENTAR DE SUPORTE SOCIAL E ATENCAO AO DEPENDENTE QUIMICO"
9796;2010;141;"POLICIA OSTENSIVA"
9797;2007;518;"CONSTRUCAO E REFORMA DE UNIDADES PREDIAIS - FHEMIG"
9798;2008;730;"ESTUDOS E PESQUISAS LEGISLATIVOS"
9799;2008;760;"MODERNIZACAO DO SISTEMA DE CONTROLE EXTERNO"
9800;2009;737;"MODERNIZACAO INSTITUCIONAL"
9801;2009;8;"CHOQUES SETORIAIS DE GESTAO"
9802;2009;226;"GESTAO ESTRATEGICA DE PESSOAS"
9803;2009;52;"UNIVERSALIZACAO DO ACESSO A ENERGIA ELETRICA NO CAMPO"
9804;2008;737;"MODERNIZACAO INSTITUCIONAL"
9805;2009;210;"GERACAO DE CONHECIMENTO E DE TECNOLOGIA AGROPECUARIA"
9806;2009;755;"AUDITORIA INTERNA E CORREICAO ADMINISTRATIVA"
9807;2009;144;"DESENVOLVIMENTO DA REFORMA AGRARIA"
9808;2008;36;"PROJETO TRAVESSIA: ATUACAO INTEGRADA EM ESPACOS DEFINIDOS DE CONCENTRACAO DE POBREZA"
9809;2009;147;"FOMENTO E INTERIORIZACAO CULTURAL EM MINAS GERAIS"
9810;2008;766;"BENEFICIOS ASSISTENCIAIS"
9811;2009;772;"PROMOCAO DOS DIREITOS DIFUSOS E COLETIVOS"
9812;2009;749;"PREVIDENCIA SOCIAL A SEGURADOS"
9813;2009;731;"REPRESENTACAO E DEFESA DOS INTERESSES DO ESTADO DE MINAS GERAIS NOS ESCRITORIOS REGIONAIS"
9814;2009;187;"ASSISTENCIA HEMATOLOGICA E HEMOTERAPICA"
9815;2009;715;"ASSISTENCIA A SAUDE DOS SEGURADOS E DOS SEUS DEPENDENTES"
9816;2009;133;"CONSTRUCAO E REFORMA DE UNIDADES PREDIAIS - FHEMIG"
9817;2011;736;"PROGRAMA DE APOIO HABITACIONAL AOS MILITARES"
9818;2011;32;"PARCERIAS PARA PROVISAO DE SERVICOS DE INTERESSE PUBLICO"
9819;2010;184;"FORMACAO E CAPACITACAO DE POLICIAIS CIVIS"
9820;2010;134;"FORMACAO DE RECURSOS HUMANOS - FHEMIG"
9821;2011;42;"REDE DE FORMACAO PROFISSIONAL ORIENTADA PELO MERCADO"
9822;2011;708;"GESTAO DO SISTEMA UNICO DE SAUDE - SUS"
9823;2011;259;"PROGRAMA DE APOIO A INDUCAO E INOVACAO CIENTIFICA E TECNOLOGICA PARA O DESENVOLVIMENTO DO ESTADO DE MINAS GERAIS"
9824;2011;175;"FARMACIA DE MINAS"
9825;2011;178;"COORDENACAO E MANUTENCAO DO SISTEMA PRISIONAL"
9826;2011;33;"POUPANCA JOVEM"
9827;2010;227;"EDUCACAO PROFISSIONAL DE SEGURANCA PUBLICA"
9828;2011;706;"ATENCAO A SAUDE"
9829;2011;707;"VIGILANCIA EM SAUDE"
9830;2011;36;"PROJETO TRAVESSIA: ATUACAO INTEGRADA EM ESPACOS DEFINIDOS DE CONCENTRACAO DE POBREZA"
9831;2011;117;"POLITICA PUBLICA DE TRABALHO, EMPREGO E RENDA"
9832;2011;187;"ASSISTENCIA HEMATOLOGICA E HEMOTERAPICA"
9833;2011;119;"PROGRAMA EXTENSAO RURAL PARA RESULTADOS"
9834;2011;131;"PRESERVACAO DO PATRIMONIO CULTURAL"
9835;2010;203;"FOMENTO DO PLANEJAMENTO HABITACIONAL"
9836;2010;765;"APOIO HABITACIONAL"
9837;2010;10;"CONSERVACAO DO CERRADO E RECUPERACAO DA MATA ATLANTICA"
9838;2011;232;"ESCOLA FAMILIA AGRICOLA"
9839;2011;234;"ALIMENTACAO ESCOLAR"
9840;2011;153;"DESENVOLVIMENTO DA EDUCACAO BASICA"
9841;2011;233;"COOPERACAO ESTADO E MUNICIPIO NA AREA EDUCACIONAL"
9842;2011;719;"ENSINO MEDIO E FUNDAMENTAL - ESCOLA ESTADUAL ORDEM E PROGRESSO"
9843;2011;746;"FISCALIZACAO DA EXECUCAO DOS RECURSOS PUBLICOS"
9844;2011;140;"DESENVOLVIMENTO DO ENSINO SUPERIOR NA UEMG"
9845;2011;24;"INSERCAO COMPETITIVA DAS EMPRESAS MINEIRAS NO MERCADO INTERNACIONAL"
9846;2012;168;"GESTAO E APOIO AS ACOES DA COPA DO MUNDO"
9847;2012;701;"APOIO A ADMINISTRACAO PUBLICA"
9848;2011;39;"PROMOCAO DE INVESTIMENTOS E INSERCAO REGIONAL (INCLUSIVE AGRONEGOCIO)"
9849;2010;148;"PROGRAMA DE DESENVOLVIMENTO TURISTICO DO NORDESTE - FASE DOIS - PRODETUR/NE-II"
9850;2012;126;"RADIODIFUSAO"
