id_material_servico;cd_material_servico;nome
413;68107986;"REAGENTE ALFA-FETOPROTEINA -"
414;48200271;"VALVULA ROBINETE -"
415;66350310;"APARELHO DE DIATERMIAS ONDAS CURTAS -"
416;68202326;"TRIPALMITINA -"
417;89050045;"CARNE EM CONSERVA -"
418;89050096;"PASTA -"
419;36101214;"ACOPLAMENTO PARA MAQUINAS INDUSTRIA GRAFICA -"
420;36100242;"EQUIPAMENTO DE CAPS -"
421;38070049;"ESTATOR PARA EQUIPAMENTOS DE ESTRADAS -"
422;53050010;"PARAFUSO COM FENDA -"
423;56200250;"CERAMICA -"
424;64470121;"TOCOFEROL ACETATO (VIT. E) -"
425;25301438;"REGULAGEM DE FREIO VEICULAR -"
426;65250303;"PORTA-RADIOGRAFIA ODONTO -"
427;87200040;"ADUBO QUIMICO -"
428;87200180;"CASCA DE ARVORES -"
429;98200011;"TUBOS METALICOS - OBRAS -"
430;89800010;"PRODUTOS ALIMENTICIOS (DISTRIBUICAO GRATUITA) -"
431;71950320;"ABAFADOR DE RUIDO IMPRESSORA (ITENS DESATIVADOS)"
432;51100100;"ALICATES CUJA FUNCAO PRINCIPAL SEJA O CORTE -"
433;76100383;"CATALOGO -"
434;99150212;"CAIXA PARA PAPEL - ACERVO -"
435;98500104;"SUPORTE DE MADEIRA - OBRAS -"
436;44750323;"PILOTO PARA VALVULA DE CALDEIRA -"
437;75100479;"ENVELOPE DE PLASTICO -"
438;65155394;"BOLA PARA FISIOTERAPIA -"
439;65180127;"MAQUINA DE CIRCULACAO EXTRACORPOREA -"
440;63500230;"SIRENE ELETROMECANICA -"
441;36100536;"BLANQUETA PARA USO EM INDUSTRIA GRAFICA -"
442;71050760;"MESA DE DOBRAR -(II)"
443;71150242;"QUADRO DE GIZ -"
444;71150293;"CADEIRA PARA PROFESSOR -"
445;66402263;"KIT DE RECOLHIMENTO DE FLUIDOS SEMINAIS -"
446;64080048;"INSULINA LISPRO -"
447;99050293;"ESPELHO REFLEXIVO, TIPO PARABOLICA, P/IMOVEIS -"
448;53450043;"REBOLO, MULTIAPLICACAO -"
449;81050313;"SACO PARA ACONDICIONAMENTO DE LIXO QUIMICO -"
450;71250182;"PRATELEIRA PARA ESTOCAGEM -"
451;93400020;"ESPELHO -"
452;16250222;"FINGER, TRACKING / TOUCHE DE PA P/ HELICOPTERO -"
453;65220099;"PONTA PARA APARELHO PROFILAXIA USO ODONTO -"
454;37752677;"CORREDICA PARA EQUIPAMENTOS DE UBV -"
455;65202783;"DESSENSIBILIZADOR DE DENTINA-"
456;34450033;"GUILHOTINA PARA CORTE DE CHAPAS -"
457;70450102;"TRAVA DA BANDEJA PARA IMPRESSORA -"
458;72300019;"TOLDO -"
459;65230353;"CURETA USO ODONTO -"
460;59850124;"ANTENA -"
461;25600729;"VARETA PARA MEDIR O NIVEL DE OLEO DO MOTOR -"
462;64860086;"ORFENADRINA, CITRATO + ASSOCIACOES -"
463;26100070;"PNEU PARA CADEIRA DE RODAS -"
464;64280012;"DOMPERIDONA -"
465;80100473;"VERNIZ -"
466;77200446;"CORREIA PARA INSTRUMENTOS MUSICAIS -"
467;66403057;"ESCOVA PARA ASSEPSIA, USO LABORATORIO -"
468;75300680;"PAPEL VERGE -"
469;65153138;"OCULOS DE PROTECAO USO HOSPITALAR -"
470;68102321;"REAGENTE PARA PROTEINA ""C"" REATIVA -"
471;66404800;"DUPLA GARRA PARA BURETA -"
472;65172140;"BOLSA VENTILATORIA -"
473;65150082;"CABO DE BISTURI DESCARTAVEL, COM LAMINA -"
474;55100015;"TABUA -"
475;51800160;"CONJUNTO FERRAMENTAS PARA SOLDADOR -"
476;61400084;"BATERIA P/EXTRACAO POR SOLVENTES SEGUNDO SEBELIN -"
477;70450200;"FILTRO DE LINHA -"
478;65158512;"BORRACHA USO MEDICO -"
479;65250443;"CARTELA PARA RX ODONTO -"
480;80100457;"IMPERMEABILIZANTE -"
481;53400054;"FECHADURA -"
482;84350024;"SAPATO FEMININO -"
483;89100034;"LEITE EM PO -"
484;65156773;"DERIVACAO -"
485;64991369;"MONOFENILBUTAZONA, USO VETERINARIO -"
486;65151720;"CANULA NASAL -"
487;67500650;"ESTEIRA GUIA PARA RACK DE CIRCULACAO -"
488;51800314;"JOGO DE CHAVES CANHAO -"
489;70450293;"RECARGA DE CARTUCHO PARA IMPRESSORA -"
490;51200058;"CHAVE DE FENDA -"
491;16800583;"ALTERNADOR PARA SISTEMA ELETRICO DE AERONAVE -"
492;66850010;"MEDIDOR DIGITAL DE TEMPERATURA -"
493;56800428;"FITA ANTIDERRAPANTE -"
494;61450022;"CORDAO PARA APARELHO TELEFONICO -"
495;65170482;"PRINTER/IMPRESSORA PARA EQUIPAMENTOS MED./HOSP. -"
496;81350260;"EMBALAGEM PARA MAQUINA UNITARIZADORA -"
497;68108664;"MALEATO DE DEXCLORFENIRAMINA -"
498;65221907;"PLACA DE DISTRIBUICAO PARA AUTOCLAVE -"
499;64630293;"LISINOPRIL -"
500;68200056;"CARBONO PRETO GRAFITADO -"
501;25200046;"CONJUNTO DE EMBREAGEM VEICULAR -"
502;62500147;"SUPORTE PARA STARTER -"
503;65150473;"MANGUEIRA PARA OXIGENOTERAPIA -"
504;68607792;"TRIMEBUTINA - PARA TRANSFORMACAO -"
505;66750032;"ESCALIMETRO -"
506;65155017;"ALMOFADA USO MEDICO-HOSPITALAR -"
507;61350052;"BATERIA PASTILHADA -"
508;36990949;"RELE PARA EQUIPAMENTOS INDUSTRIA FARMACEUTICA -"
509;38200066;"BRITADEIRA -"
510;99150158;"BUSTO - ACERVO -"
511;65190718;"TROCATER -"
512;68607822;"HIDROXICLOROQUINA SULFATO - PARA TRANSFORMACAO -"
513;31200117;"MANCAL PARA EQUIPAMENTOS DE LAVANDERIA -"
514;65152182;"CONJUNTO PARA DRENAGEM MEDIASTINAL -"
515;68102461;"KIT DE IMUNOENSAIO DE FLUXO LATERAL -"
516;64850013;"ALLOPURINOL -"
517;64910016;"ALCATRAO DE HULHA -"
518;65170695;"MOTOR PARA EQUIPAMENTOS MEDICO-HOSPITALARES -"
519;66421942;"TECLADO PARA EQUIPAMENTOS DE LABORATORIO -"
520;64830039;"HALOPERIDOL -"
521;91400082;"OLEO COMBUSTIVEL -"
522;64680029;"PROMETAZINA -"
523;53060091;"PARAFUSO COM PORCA -"
524;37750143;"DEFLETOR PARA EQUIPAMENTOS DE UBV -"
525;64430057;"SOLUCAO DE BICARBONATO DE SODIO -"
526;64430081;"CLORETO DE POTASSIO -"
527;66410908;"HEMOGLOBINOMETRO -"
528;35950366;"PAPELAO-AMIANTO P/CALDEIRA DE LAVANDERIA INDUST. -"
529;66750709;"ESTOJO DE COMPASSOS -"
530;25350056;"PLATINADO USO VEICULAR -"
531;64750043;"BROMAZEPAM -"
532;65230523;"KIT PARA ELEVACAO DE SEIO MAXILAR USO ODONTO -"
533;64981509;"VITAMINAS -"
534;85300101;"APARELHO DE BARBEAR -"
535;64140040;"GRISEOFULVINA -"
536;65156617;"EXTENSOR -"
537;65156609;"EXTENSOR DE EQUIPO COM PRIMER REDUZIDO -"
538;29900247;"TAMPA DE OLEO -"
539;59700114;"LENCOL ISOLANTE -"
540;56700229;"CONEXOES METALICAS PARA CALHA DE TELHADO -"
541;63500019;"SINALIZADOR P/ENCAIXE EM CONE SINALIZACAO -"
542;56200110;"LAJE -"
543;64360024;"CLOBUTINOL, CLORIDRATO -"
544;37500074;"ARRANCADOR DE INCO -"
545;38073889;"MANOMETRO PARA EQUIPAMENTOS DE ESTRADAS -"
546;98100084;"PO DE PEDRA - OBRAS -"
547;64710017;"NEOSTIGMINA -"
548;64720039;"DIPIRONA SODICA -"
549;16250273;"TRAVA FRENO DE HELICOPTERO -"
550;25600222;"BIELA DO MOTOR GASOLINA, GAS E ALCOOL AUTOMOTIVO"
551;58970274;"ANALISADOR DE BATERIA"
552;88200205;"CAPRINOS (PARA REPRODUCAO) -"
553;38073153;"TIRA PARA EQUIPAMENTOS DE ESTRADAS -"
554;59200162;"HASTE DE PARA-RAIO -"
555;64500039;"DEXAMETASONA ACETATO (ASSOC) -"
556;89300025;"BARRA DE CEREAIS -"
557;65158164;"ORTESE CORRETIVA -"
558;64760022;"FENOBARBITAL -"
559;81200188;"VALVULA CORTA CHAMA PARA CILINDRO DE GASES -"
560;29900077;"TAMPA DO MOTOR, EXCETO VEICULAR E AERONAVE -"
561;71050230;"BANCO PARA ASSENTO -(I)"
562;65151259;"GRAMPEADOR MECANICO LINEAR CORTANTE -"
563;41600169;"MOTOR PARA VENTILADOR DE CONDICIONADOR DE AR -"
564;58100059;"BLOQUEADOR DE SINAIS DE RADIOCOMUNICACAO -"
565;65156668;"AGULHA DESCARTAVEL TIPO PISTOLA -"
566;37752634;"RESPIRO PARA EQUIPAMENTOS DE UBV -"
567;64630056;"MINOXIDIL -"
568;64950018;"TRIETANOLAMINA + BORATO DE HIDROXIQUINOLINA -"
569;64890015;"PEROXIDO DE HIDROGENIO ESTABILIZANTE -"
570;64130185;"AMPICILINA -"
571;64660060;"NICOTINICO, ACIDO + PAPAVERINA CLORIDRATO -"
572;64870103;"CLORQUINALDOL + VALERATO DE DIFLUCORTOLONA -"
573;77400038;"FITA DE VIDEO, GRAVADA -"
574;72400196;"LIXEIRA PARA USO HOSPITALAR -"
575;65250257;"FIXADOR ESPECIFICO PARA MAMOGRAFIA -"
576;35950269;"VIDRO PARA EQUIPAMENTOS DE LAVANDERIA -"
577;66320070;"DETECTOR DE AR PARA AGULHA DE AMOSTRA -"
578;64180069;"TIABENDAZOL -"
579;64120040;"SEVELAMER -"
580;72900474;"ETIQUETA PARA IMPRESSAO DE CODIGO DE BARRAS -"
581;45100381;"PINO DE ACIONAMENTO PARA VALVULA DESCARGA -"
582;87100185;"SUPLEMENTOS VITAMINICOS E MINERAIS VETERINARIOS -"
583;64870111;"PROPIONATO DE CLOBETASOL -"
584;64130215;"RIFAMIDA -"
585;66403405;"SERINGA USO LABORATORIO -"
586;64740080;"CLORIDRATO DE MEPIVACAINA + ADRENALINA -"
587;25500139;"SISTEMA DA SUSPENSAO -"
588;64740030;"LIDOCAINA, CLORIDATO 5% + GLICOSE -"
589;65201647;"BORRACHA ABRASIVA ODONTO -"
590;84650273;"BENGALA -"
591;63500345;"CONE PARA SINALIZACAO (suspenso para compra) -"
592;64430120;"POLIESTIRENOSSULFONATO DE CALCIO -"
593;64330060;"MANITOL -"
594;64330095;"AMILORIDA + ASSOCIACOES -"
595;64220095;"BLEOMICINA, SULFATO -"
596;72100079;"PLASTICO FLANELADO -"
597;65152190;"TALA ORTOPEDICA PARA IMOBILIZACAO -"
598;65152298;"SISTEMA DE DRENAGEM USO MEDICO HOSPITALAR -"
599;65400089;"BISELADORA DE LENTES OFTALMICAS -"
600;37500171;"ENXADA USO AGRICOLA -"
601;64810054;"NITRAZEPAN -"
602;73300578;"ESCORREDOR PARA ALIMENTOS -"
603;67600131;"CARRETEL -"
604;64370119;"XINAFOATO DE SALMETEROL -"
605;75100843;"CARTUCHO TONER PARA REPROGRAFIA -"
606;64500063;"CIPROFLOXACINO, CLORIDRATO, USO OFTALMICO -"
607;64780031;"SELEGILINA -"
608;36101680;"ANEL PARA MAQUINAS E EQUIPAMENTOS IND. GRAFICA -"
609;64080021;"INSULINA BOVINA/SUINA -"
610;64790037;"FLUNARIZINA CLORIDRATO -"
611;41100174;"CAMARA FRIGORIFICA -"
612;64740145;"BUPIVACAINA, CLORIDRATO 0,5% + BIT. EPINEFRINA -"
613;25350064;"CONDENSADOR ELETRICO USO VEICULAR -"
614;64981266;"QUETIAPINA FUMARATO -"
615;83400141;"LONA PLASTICA -"
616;25600150;"DIAFRAGMA CARBURADOR MOTOR AUTOMOTIVO GAS/ALC -"
617;77200438;"SURDINA -"
618;25350285;"PLACA DE DIODO VEICULAR -"
619;64410161;"TALIDOMIDA -"
620;62500180;"REATOR ELETRONICO PARA LAMPADA FLUORESCENTE -"
621;53300270;"BUCHA PARA TORNEIRAS -"
622;36100773;"ESTUFA PARA AQUECER PAPEIS, INDUSTRIA GRAFICA -"
623;66420202;"LAMINA PARA EQUIPAMENTOS DE LABORATORIO -"
624;59751371;"FITA DUPLA FACE -"
625;36992410;"PRESILHA PARA EQUIPAMENTOS INDUSTRIA FARMACEUTICA-"
626;64630153;"METOPROLOL TARTARATO -"
627;56400128;"CALHAS PARA ISOLAMENTO TERMICO DE TUBULACOES -"
628;25350536;"ESTATOR USO VEICULAR -"
629;64520030;"CLORETO DE BENZALCONIO + ASSOCIACOES -"
630;84800437;"CALCA MANUTENCAO PMMG -"
631;64110052;"ACIDO TRICLOROACETICO -"
632;64830179;"QUETIAPINA -"
633;85300098;"LAMINA PARA APARELHO DE BARBEAR -"
634;65250265;"REVELADOR PARA RAIO-X -"
635;64870162;"BETAMETASONA, USO TOPICO -"
636;64410110;"CICLOSPORINA MICROEMULSAO OU MODIFICADA -"
637;64470229;"ACIDO PAMIDRONICO -"
638;16150058;"INDICADOR DE COMBUSTIVEL PARA AERONAVES -"
639;36990183;"TENSOR PARA EQUIPAMENTOS INDUSTRIA FARMACEUTICA -"
640;66320798;"ROTOR PARA EQUIPAMENTOS DE CROMATOGRAFIA -"
641;66320801;"CONEXAO PARA EQUIPAMENTO DE CROMATOGRAFIA -"
642;41601009;"MANTA DE FELTRO EQUIPAMENTO CONDICION.AR CENTRAL -"
643;75301431;"CAIXA PARA ARQUIVO MORTO (suspenso para compra) -"
644;66320585;"CONEXAO EM VIDRO BOROSSILICATO -"
645;83450017;"BANDEIRA DO BRASIL -"
646;88200060;"EQUINO (PARA ESTUDOS) -"
647;80300081;"SELANTE PARA VEDACAO -"
648;68107862;"SOLUCAO AMPLIFICADORA PARA BIOQUIMICA -"
649;64510093;"BRIMONIDINA -"
650;29900280;"PROTETOR DO MOTOR -"
651;59750197;"BARRAMENTO PARA CONDUCAO ELETRICA -"
652;35100028;"CENTRIFUGA PARA LAVANDERIA INDUSTRIAL -"
653;64720233;"CAFEINA CITRATO -"
654;25600907;"MOLA DE VALVULA MOTOR DIESEL AUTOMOTIVO -"
655;25601652;"CORRENTE DO COMANDO DE VALVULAS VEICULAR -"
656;64450490;"COMPLEMENTO ALIMENTAR PARA FENILCETUNURICOS -"
657;64240045;"GOSSERRELINA ACETATO -"
658;36990272;"CONECTOR P/EQUIPAMENTOS INDUSTRIA FARMACEUTICA -"
659;83150048;"AGULHA PARA TRABALHOS ARTESANAIS -"
660;65200284;"SELANTE USO ODONTO -"
661;25200186;"PLATO DE EMBREAGEM USO VEICULAR -"
662;68500459;"ELEVADOR DE PH -"
663;37750062;"CALCO PARA NEBULIZADOR/ATOMIZADOR -"
664;84800305;"CALCAO EDUCACAO FISICA PMMG -"
665;36101575;"CARRINHO DE TRACAO DO BATENTE LATERAL -"
666;67100015;"CAMERA CINEMATOGRAFICA -"
667;75301229;"PAPEL TELA -"
668;64440028;"SINVASTATINA -"
669;59700076;"ESPAGUETE -"
670;41300041;"CAIXA DE FILTRAGEM PARA DUTO -"
671;58970630;"PLACA DE CIRCUITO PARA TELECOMUNICACAO*VER59980010"
672;64980090;"ROSUVASTATINA CALCICA -"
673;81200064;"REGULADOR DE PRESSAO -"
674;56700288;"FERRO EM T -"
675;65190459;"ASPIRADOR/IRRIGADOR (INSTRUMENTAL) -"
676;87100053;"RACAO PARA BOVINOS -"
677;70250138;"DISCO RIGIDO INTERNO -"
678;64570053;"CLORIDRATO DE ANAGRELIDA -"
679;64720225;"MELOXICAM -"
680;70450552;"MANOPLA PARA IMPRESSORA -"
681;64860108;"MIVACURIO -"
682;25602284;"ALAVANCA REGUL.BOMBA INJETORA MOTOR AUT. DIESEL -"
683;64870189;"POMADA DE PROPOLIS -"
684;59350180;"TOMADA CONJUGADA -"
685;64010171;"ACETONIDO DE TRIANCINOLONA -"
686;71950273;"CADEIRA DIGITACAO (ITENS DESATIVADOS)"
687;89150244;"FRUTA DESIDRATADA -"
688;66401445;"TORNEIRA PARA LABORATORIO -"
689;59350148;"SOQUETE ELETRICO -"
690;38070596;"AUTOMATICO PARA EQUIPAMENTOS DE ESTRADAS -"
691;32350074;"CARBURADOR PARA EQUIPAMENTO TRABALHO EM MADEIRA -"
692;64500314;"NEPAFENACO -"
693;25330080;"TUBO FLEXIVEL DE FREIO VEICULAR -"
694;25100343;"DEFLETOR DE AR PARA CABINE VEICULAR -"
695;38071991;"ALTERNADOR PARA EQUIPAMENTOS DE ESTRADAS -"
696;65152930;"BOLSA DE COLOSTOMIA -"
697;68101279;"KIT PARA DETECCAO DE MICROORGANISMOS -"
698;75300583;"CARTAO DUPLO CALANDRADO -"
699;64990630;"OCITOCINA, USO VETERINARIO -"
700;77200519;"CRINA PARA ARCO DE INSTRUMENTOS MUSICAIS -"
701;10103830;"MOLA DO GATILHO DO REVOLVER -"
702;38071525;"BARRA DE DIRECAO PARA EQUIPAMENTOS DE ESTRADAS -"
703;65220838;"SUPORTE PARA PONTA DE CANETA ALTA ROTACAO -"
704;65153251;"COLETOR DE MATERIAL PERFUROCORTANTE -"
705;70250057;"LEITORA UNIVERSAL DE EPROM -"
706;36991724;"FUSIVEL P/EQUIPAMENTOS INDUSTRIA FARMACEUTICA -"
707;45100438;"PORTA-PAPEL HIGIENICO -"
708;73300500;"CARRETILHA PARA CORTAR MASSAS -"
709;64670112;"EPINEFRINA -"
710;68102194;"REAGENTE MAGNESIO -"
711;65151828;"FACA PARA NECROPSIA -"
712;85300020;"ESCOVA DE CABELO -"
713;53060040;"PARAFUSO PARA ELETROCALHAS -"
714;45200017;"AQUECEDOR DE AGUA ATE 2100 KG/CM2 DE PRESSAO -"
715;38071665;"TAMPA CILINDRO MESTRE DE FREIO PARA EQUIPAMENTOS -"
716;38071789;"CUNHA PARA EQUIPAMENTOS DE ESTRADAS -"
717;65150023;"CERA PARA OSSO -"
718;65153812;"COLETOR DE URINA PEDIATRICO -"
719;41600550;"PECA TC 900 PARA EQUIPAMENTO DE REFRIGERACAO -"
720;75301326;"CADERNO PARA CARTOGRAFIA -"
721;64990338;"OXITETRACICLINA, USO VETERINARIO -"
722;25401009;"CAPA DE BANCO PARA MOTOCICLETA -"
723;65202872;"KIT DE BROCAS USO ODONTO -"
724;64980294;"LEVODOPA + ASSOCIACOES -"
725;36050229;"LAVADOR DE PESCADO -"
726;89500130;"ALHO -"
727;53400453;"ESPELHO PARA FECHADURA -"
728;66410827;"CAMARA PARA SACRIFICIO DE COBAIAS -"
729;66420237;"PARAFUSO PARA EQUIPAMENTOS DE LABORATORIO -"
730;75301130;"RISQUE RABISQUE -"
731;68109067;"KIT PARA CARTUCHOS DE CUBETAS-"
732;87100045;"SILAGEM DE FORRAGEIRAS -"
733;65173635;"COTOVELO PARA EQUIPAMENTOS MEDICO-HOSPITALARES -"
734;64630161;"PRAZOSINA CLORIDRATO -"
735;64040011;"DESMOPRESSINA, ACETATO -"
736;71100369;"MESA PARA REUNIAO -(III)"
737;35900300;"AMACIADOR DE CARNE -"
738;68108966;"KIT IDGA (VIAA) PARA AFTOSA -"
739;68108974;"TESTE PARA IMUNODIAGNOSTICO TOXOPLASMOSE HUMANA -"
740;36101559;"GARRA PARA MAQUINAS INDUSTRIA GRAFICA -"
741;25970275;"GAXETA USO VEICULAR -"
742;68102151;"REAGENTE FOSFORO -"
743;66420024;"CONJUNTO DA BOMBA PARA INCUBADORA DE CO2 -"
744;36990744;"FIXACAO P/UNIDADES TRATAMENTO DE AR COMPRIMIDO -"
745;36990752;"RESERVATORIO AR COMPRIMIDO MAQUINA CREME/POMADAS -"
746;65171080;"MANGUITO PARA APARELHO DE PRESSAO -"
747;69500606;"KIT PARA A SIMULACAO DE FERIDAS IV -"
748;84100265;"BATA -"
749;68500521;"QUEROSENE DESODORIZADA -"
750;66340160;"KIT DE VALIDACAO PARA DISSOLUTOR -"
751;25970500;"ESPACADOR USO MOTOCICLETA -"
752;65157940;"HASTE INTRAMEDULAR DE ACO-"
753;72100257;"JOGO DE TOALHAS -"
754;65153626;"SILICONE USO CIRURGICO -"
755;65158105;"PLACA DE COMPRESSAO DINAMICA-"
756;64670074;"ENALAPRIL MALEATO -"
757;65171802;"TAMPA PARA FRASCO DE ASPIRADOR DE SECRECAO -"
758;65250370;"ECRAN INTENSIFICADOR PARA RADIOLOGIA -"
759;58300090;"INTERCOMUNICADORES COM FIO -"
760;69500045;"ALBUM SERIADO -"
761;58971491;"PECAS E ACESSORIOS PARA GPS -"
762;65174003;"CONECTOR PARA INCUBADORA -"
763;58050566;"FAX -"
764;58050434;"IDENTIFICADOR DE CHAMADAS -"
765;71050817;"MESA PARA COZINHA INDUSTRIAL -"
766;59200197;"CENTELHADOR -"
767;63500191;"CONTROLE REMOTO P/SISTEMA DE SINALIZACAO E ALARME-"
768;51800330;"KIT DE FERRAMENTAS PARA MOTO -"
769;51800098;"JOGO DE CHAVES DE FENDA -"
770;56400390;"COLUNA PARA DIVISORIA -"
771;37100181;"ROCADEIRA -"
772;66404894;"TUBO CRIOGENICO -"
773;64620034;"AMIODARONA -"
774;25990128;"PRIMER USO AUTOMOTIVO -"
775;65157974;"PLUG PARA CANAL FEMURAL-"
776;58050507;"FONE PARA EQUIPAMENTO TELEFONICO -"
777;72400226;"COLETOR DE LIXO (CONSUMO) -"
778;81150105;"CONTENTOR PARA USO GERAL -"
779;64580040;"ALBUMINA HUMANA -"
780;74900390;"MAQUINA DE ASSINAR -"
781;64982220;"NITROFURANTOINA -"
782;75301350;"PAPEL GOFRATA -"
783;16801520;"LAMINA PARA AERONAVE -"
784;41100034;"SORVETEIRAS -"
785;65156439;"PINCA DESCARTAVEL -"
786;58050558;"CENTRAL TELEFONICA (PABX) -"
787;75400049;"FORMULARIO NOTA DE EMPENHO -"
788;56400268;"SUPORTE PARA FIXACAO DE FORRO E TETO -"
789;70350639;"PLACA DE VIDEO -"
790;65190726;"PINCA PARA VIDEOLAPAROSCOPIA -"
791;58350276;"MICROGRAVADOR -"
792;36101060;"SAPATA PARA MAQUINAS INDUSTRIA GRAFICA -"
793;65202562;"CONDENSADORES ENDODONTICOS -"
794;64830128;"PIMOZIDA -"
795;51200210;"TAZ (TASSO) -"
796;73300071;"SACA-ROLHAS -"
797;65200764;"GRAL USO ODONTO -"
798;71950613;"APOIO DE PES PARA INSTRUMENTISTA -"
799;38070235;"DIFERENCIAL PARA EQUIPAMENTOS DE ESTRADAS -"
800;75400197;"LIVRO DE PROTOCOLO GRAFICO, USO FAPEMIG -"
801;64150038;"INTERFERON ALFA-2A -"
802;65172213;"CESTO PARA EQUIPAMENTOS MED./HOSPITALARES -"
803;52200035;"CALIBRES INSPECAO PARA ANEIS -"
804;64480046;"CARBACOL -"
805;37751980;"GUARDA-PO PARA EQUIPAMENTOS DE UBV -"
806;64820050;"FLUNITRAZEPAM -"
807;48100110;"VALVULA REDUTORA DE PRESSAO -"
808;66350093;"POLARISCOPIO -"
809;65221915;"CABO DE MEDICAO PARA LOCALIZADOR DE APICE -"
810;25970704;"SINO DO DIFERENCIAL, USO VEICULAR -"
811;10103872;"MOLA DO EMBOLO DO BUJAO DEPOSITO TRAVA SEGURANCA -"
